# This file holds test data for Final Project # 5, with chemical compounds name and formula extracted from https://byjus.com/chemical-compound-formulas/ and Problem Set 2
# Each record has two fields: name,formula
# 
# Fields:
# name: holds the name of the chemical compound
# formula: holds the molecular formula for the compound
#name,formula
beta-D-Glucose,C6H12O6
alpha-D-Glucose-6-phosphate,C6H13O9P1
beta-D-Fructofuranose-6-phosphate,C6H13O9P1
beta-D-Fructose-1-6-bisphosphate,C6H14O12P2
D-Glyceraldehyde-3-phosphate,C3H7O6P1
2-Hydroxyethyl-ThPP,C14H23N4O8P2S1
Pyruvate,C3H4O3
Phosphoenolpyruvate,C3H5O6P1
2-Phospho-D-glycerate,C3H7O7P1
3-Phospho-D-glycerate,C3H7O7P1
3-Phospho-D-glyceroyl-phosphate,C3H8O10P2
Dihydroxyacetone-phosphate,C3H7O6P1
ATP,C10H16N5O13P3
ADP,C10H15N5O10P2
NADP,C21H29N7O17P3
NADPH,C21H30N7O17P3
Acetic Acid,C2H4O2
Hydrochloric Acid,HCl
Sulfuric Acid,H2SO4
Acetate,C2H3O2 
Ammonia,NH3
Nitric Acid,HNO3 
Phosphoric Acid,H3PO4
Sodium Phosphate,Na3PO4
Calcium Carbonate,CaCO3
Carbonic Acid,H2CO3
Sodium Bicarbonate,NaHCO3
Sodium Hydroxide,NaOH
Hydrobromic Acid,HBr
Potassium Hydroxide,KOH
Silver Nitrate,AgNO3
Sodium Chloride, NaCl
Methane,CH4 
Sodium Nitrate,NaNO3
Aluminum Oxide,Al2O3
Carbon Tetrachloroide,CCl4 
Citric Acid,C6H8O7
Salicylic Acid,C7H6O3
Sodium Acetate,C2H3NaO2
Sodium Sulfate,Na2SO4
Potassium Nitrate,KNO3
Ammonium Chloride,NH4Cl
Calcium Oxide,CaO
Carbon Monoxide,CO
Chlorine gas,Cl2
Hydrogen Peroxide,H2O2 
Potassium Chloride,KCl 
Sulfur Dioxide,SO2 
Iron Oxide,Fe2O3 
Silver Chloride,AgCl 
Sodium Iodide,NaI
Acetone,C3H6O
Benzene,C6H6 
Methanol,CH4O 
Sodium Sulfite,Na2SO3 
Zinc Chloride,ZnCl2 
Magnesium Carbonate,MgCO3 
Benzoic Acid,C7H602 
Acetamide,C2H5NO 
Carbon Disulfide,CS2 
Potassium Chromate,CrK2O4 
Zinc Sulfate,ZnSO4 
Perchloric Acid,HClO4 
Potassium Bromide,KBr
Chromic Acid,H2CrO4 
Lactic Acid,C3H6O3 
